T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.02005, 0.99], [0.04009, 0.01]], [[0.03847, 0.99], [0.07693, 0.01]], [[1.56616, 0.99], [3.13233, 0.01]], [[0.02628, 0.99], [0.05256, 0.01]], [[1.38959, 0.99], [2.77918, 0.01]], [[0.0181, 0.99], [0.03619, 0.01]], [[0.27645, 0.99], [0.55291, 0.01]], [[7.12794, 0.99], [14.25588, 0.01]], [[3.09625, 0.99], [6.19249, 0.01]], [[31.48189, 0.99], [62.96379, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.00395, 0.99], [0.00791, 0.01]], [[0.5786, 0.99], [1.15719, 0.01]], [[0.79243, 0.99], [1.58486, 0.01]], [[0.77594, 0.99], [1.55188, 0.01]], [[1.22372, 0.99], [2.44744, 0.01]], [[6.00149, 0.99], [12.00298, 0.01]], [[3.91748, 0.99], [7.83497, 0.01]], [[109.62366, 0.99], [219.24732, 0.01]], [[10.57093, 0.99], [21.14185, 0.01]], [[323.26718, 0.99], [646.53436, 0.01]]]

T=[[[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.91614, 0.99], [1.83228, 0.01]], [[0.97029, 0.99], [1.94058, 0.01]], [[1.25089, 0.99], [2.50179, 0.01]], [[2.87755, 0.99], [5.7551, 0.01]], [[1.18335, 0.99], [2.36669, 0.01]], [[0.4239, 0.99], [0.8478, 0.01]], [[7.80402, 0.99], [15.60804, 0.01]], [[15.378, 0.99], [30.756, 0.01]], [[42.34813, 0.99], [84.69626, 0.01]], [[51.98693, 0.99], [103.97387, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]], [[500, 0.01], [1000, 0.99]]]
C=[[[0.00602, 0.99], [0.01204, 0.01]], [[0.17288, 0.99], [0.34577, 0.01]], [[0.5553, 0.99], [1.1106, 0.01]], [[0.0037, 0.99], [0.00741, 0.01]], [[1.12425, 0.99], [2.2485, 0.01]], [[1.98067, 0.99], [3.96134, 0.01]], [[3.87989, 0.99], [7.75977, 0.01]], [[21.74684, 0.99], [43.49368, 0.01]], [[22.71031, 0.99], [45.42061, 0.01]], [[54.55452, 0.99], [109.10904, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[100, 0.01], [200, 0.99]], [[100, 0.01], [200, 0.99]], [[500, 0.01], [1000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.03618, 0.99], [0.07235, 0.01]], [[0.25999, 0.99], [0.51999, 0.01]], [[0.21746, 0.99], [0.43492, 0.01]], [[1.04869, 0.99], [2.09739, 0.01]], [[0.35697, 0.99], [0.71393, 0.01]], [[0.03883, 0.99], [0.07766, 0.01]], [[6.51098, 0.99], [13.02196, 0.01]], [[4.84094, 0.99], [9.68187, 0.01]], [[22.51949, 0.99], [45.03898, 0.01]], [[19.1624, 0.99], [38.32479, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[200, 0.01], [400, 0.99]]]
C=[[[0.02877, 0.99], [0.05755, 0.01]], [[0.21989, 0.99], [0.43978, 0.01]], [[0.16794, 0.99], [0.33589, 0.01]], [[0.11502, 0.99], [0.23003, 0.01]], [[0.07495, 0.99], [0.1499, 0.01]], [[1.09068, 0.99], [2.18135, 0.01]], [[2.68302, 0.99], [5.36604, 0.01]], [[0.42063, 0.99], [0.84126, 0.01]], [[1.67185, 0.99], [3.3437, 0.01]], [[18.74226, 0.99], [37.48452, 0.01]]]

T=[[[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[20, 0.01], [40, 0.99]], [[50, 0.01], [100, 0.99]], [[50, 0.01], [100, 0.99]], [[100, 0.01], [200, 0.99]], [[200, 0.01], [400, 0.99]], [[200, 0.01], [400, 0.99]], [[1000, 0.01], [2000, 0.99]], [[1000, 0.01], [2000, 0.99]]]
C=[[[0.00592, 0.99], [0.01184, 0.01]], [[0.17, 0.99], [0.34, 0.01]], [[0.75492, 0.99], [1.50985, 0.01]], [[2.7576, 0.99], [5.5152, 0.01]], [[7.1773, 0.99], [14.35459, 0.01]], [[9.15493, 0.99], [18.30985, 0.01]], [[14.19718, 0.99], [28.39437, 0.01]], [[28.25351, 0.99], [56.50703, 0.01]], [[70.02699, 0.99], [140.05397, 0.01]], [[52.76595, 0.99], [105.53191, 0.01]]]

T=[[[1, 0.01], [2, 0.99]], [[1, 0.01], [2, 0.99]], [[2, 0.01], [4, 0.99]], [[5, 0.01], [10, 0.99]], [[5, 0.01], [10, 0.99]], [[10, 0.01], [20, 0.99]], [[10, 0.01], [20, 0.99]], [[20, 0.01], [40, 0.99]], [[200, 0.01], [400, 0.99]], [[500, 0.01], [1000, 0.99]]]
